"specie";"scientific_name";"short_name";"spawning_type";"migration";"diet";"parental_care";"slope.level";"ci.lower.level";"ci.upper.level";"p.level";"slope.prop";"ci.lower.prop";"ci.upper.prop";"p.prop";"p.shapiro";"aic";"n"
"1";"L.frideri";"Leporinus friderici ";"L.fri";"Total";"No";"Omn";"No";"-0.534311703537413";"-0.9816976382304";"-0.0869257688444256";"0.0201818325997296";"0.120365066234909";"-0.228322051127104";"0.469052183596923";"0.491589591965913";"0.0856938398126303";"78.9411766615662";"55"
"2";"L.lacustr";"Leporinus lacustris";"L.lac";"Partial";"No";"Herb";"No";"0.12131924154059";"-0.291135430128428";"0.533773913209607";"0.558860810274595";"0.129206349747733";"-0.348268788172779";"0.606681487668245";"0.59066516747776";"0.155711206191926";"72.1795054191594";"67"
"3";"S.borelli";"Schizodon borellii";"S.bor";"Total";"No";"Herb";"No";"0.43936714535469";"0.167940071243015";"0.710794219466365";"0.00193355261062467";"-0.462334990755141";"-0.77820566942235";"-0.146464312087932";"0.00477329608960794";"0.0381856382478645";"35.8073072243716";"67"
"4";"M.macroce";"Megaleporinus macrocephalus";"M.mac";"Total";"Yes";"Omn";"No";"-0.170266494181825";"-0.803372089444019";"0.462839101080368";"0.587623625819312";"-0.392862437498339";"-0.892949896228133";"0.107225021231454";"0.119384518441793";"0.000441136934923657";"64.4448172772457";"35"
"5";"M.piavuss";"Megaleporinus piavussu";"M.pia";"Total";"Yes";"Herb";"No";"-0.94947566965216";"-1.52811082244791";"-0.370840516856414";"0.00178852671829087";"-0.118681145266769";"-0.559862872509317";"0.322500581975778";"0.591637282384577";"0.0480522343769796";"91.6293593609432";"55"
"6";"S.brevipi";"Steindachnerina brevipinna";"S.bre";"Total";"No";"Det";"No";"0.529471531968285";"0.0350857254599736";"1.0238573384766";"0.0362875905189598";"-0.714493534394938";"-1.19161566109108";"-0.237371407698793";"0.00405228046319286";"0.13112140644257";"79.4325406754405";"57"
"7";"S.insculp";"Steindachnerina insculpta ";"S.ins";"Total";"No";"Det";"No";"-0.224993661366679";"-0.624531254777899";"0.174543932044541";"0.264284024148837";"0.660514841734079";"0.259000612849629";"1.06202907061853";"0.00169217245859644";"0.0174101115048299";"55.498965926477";"61"
"8";"C.nagelii";"Cyphocharax nagelii";"C.nag";"Total";"No";"Det";"No";"0.249639488936162";"-0.306370326534235";"0.80564930440656";"0.36558443803733";"-0.0310004458984521";"-0.342627708831499";"0.280626817034595";"0.840003906553477";"3.38449828221544e-06";"30.2794204836053";"31"
"9";"C.modestu";"Cyphocharax modestus";"C.mod";"Total";"No";"Det";"No";"-0.234698893493807";"-1.05773874732067";"0.588340960333054";"0.565048551818971";"-0.117642627698138";"-0.629995759577942";"0.394710504181666";"0.642847935293169";"0.00011076846056795";"68.3863508328851";"34"
"10";"P.lineatu";"Prochilodus lineatus";"P.lin";"Total";"Yes";"Det";"No";"-0.0659284579047867";"-0.397887364404924";"0.266030448595351";"0.692727653478321";"-0.540808951227858";"-0.895771664656398";"-0.185846237799317";"0.00340757150524364";"0.00665174036347684";"44.6972200498821";"65"
