"A.crassip";"A.lacustr";"A.osteomy";"Ast.lacus";"C.britski";"C.kelberi";"C.modestu";"C.nagelii";"C.piquiti";"E.triline";"G.inaequi";"G.sveni";"H.littora";"H.mbigua";"H.oremacu";"H.orthono";"H.platyrh";"H.unitaen";"Hopli.sp2";"Hopli.sp3";"I.labrosu";"L.frideri";"L.lacustr";"L.platyme";"M.aff.int";"M.lippinc";"M.macroce";"M.piavuss";"P.ambrose";"P.corrusc";"P.galeatu";"P.granulo";"P.lineatu";"P.maculat";"P.mesopot";"P.mysteri";"P.squamos";"R.descalv";"R.hahni";"R.vulpinu";"S.borelli";"S.brasili";"S.brevipi";"S.insculp";"S.lima";"S.maculat";"S.margina";"S.pappate";"T.paragua";"ano.mes";"nv.df0";"nv.df1";"nv.df2";"nv.df3";"nv.df4";"nv.df5"
"1";2.96048632237261;1.50539064082381;2.11063094200766;4.46694626675201;1.87004405300035;NA;2.06918239010981;6;NA;4.44907806349463;NA;NA;3.35599195485367;NA;2.96048632237261;NA;6;2.32352941165859;NA;NA;2.96048632237261;1.6750077234116;1.17708384086887;1.39120636120141;4.0511523620618;1.87004405300035;NA;1.47955974844793;2.40878309048276;2.65880503130676;1.24628178860387;6;1.4620342803245;1.86420816816851;NA;NA;5.28869499237456;4.97581471829258;2.38118214747771;4.05576631231014;1.15692744842872;NA;NA;4.68471953567658;NA;4.05048224934793;1.40550943711963;4.04391122893898;4.13258636786221;"2000/02";276.51724137931;267.645161290323;NA;NA;NA;NA
"2";1.87004405300035;2.38118214747771;6;6;6;6;2.6960352423095;NA;6;3.64150943420131;NA;NA;2.4752407152149;NA;6;NA;6;2.89119170981117;NA;NA;2.96048632237261;NA;3.62985229952508;1.33861557876744;6;6;NA;4.06415006181799;1.42992552449714;2.0937500000422;1.56715784264662;6;2.22736418474331;1.69053970876496;NA;NA;2.92937563969751;2.78472256018824;6;6;1.97141044244874;NA;NA;3.00996677743605;NA;2.85534591198608;3.02506875382329;3.15909090929832;NA;"2000/05";260.41935483871;273.966666666667;321.129032258065;276.51724137931;267.645161290323;NA
"3";6;1.6750077234116;NA;2.0937500000422;NA;NA;NA;3.07702050954736;NA;NA;NA;NA;2.19451820943821;NA;NA;NA;2.9050894085517;2.64718019248324;NA;NA;4.51499851512827;NA;2.63433700040678;1.16676694579963;1.87004405300035;6;NA;2.29286376292633;2.40347387950975;2.89815612627357;1.93848502721344;NA;2.63857358570033;2.85347190761643;NA;NA;NA;2.22736418521176;2.96048632237261;2.96048632237261;2.33423086488508;NA;NA;1.91239402508706;NA;NA;1.96980552680262;6;6;"2000/08";259.677419354839;267.838709677419;264.5;260.41935483871;273.966666666667;321.129032258065
"4";NA;1.14119601330177;2.26572327065752;4.32174749066086;1.33678756486109;NA;4.2806052267439;6;NA;2.38118214747771;NA;NA;1.63953488387393;NA;6;NA;3.661616407488;NA;NA;NA;6;3.83750386150502;3.34919971755879;1.63716637877137;2.74999810594061;NA;NA;2.06918239010981;1.5166757792779;NA;1.89022424092044;NA;2.92181407768101;3.92746114038139;NA;NA;2.96048632237261;1.86062422998664;2.96048632237261;1.85492227987534;3.12806595220184;NA;NA;1.98143202564903;NA;1.5166757792779;1.35760271794628;6;6;"2000/11";256.433333333333;255.225806451613;261.466666666667;259.677419354839;267.838709677419;264.5
"5";NA;3.28739728709051;4.39236128028692;4.47332001014037;3.92746114038139;2.96048632237261;NA;6;NA;4.65660184229475;NA;NA;3.29627766587616;NA;6;NA;6;NA;NA;NA;6;6;2.12269515818397;1.76378179738024;2.96794563655889;6;NA;NA;4.09227396804659;2.0937500000422;1.60196322084183;NA;1.72891008093247;2.26572327065752;NA;NA;6;4.02231953685842;2.6960352423095;2.34627563683482;2.09540785997331;6;NA;2.76886397850524;2.96048632237261;1.95407326424437;2.11539146697158;2.99609492346331;5.49692054394358;"2001/02";287.464285714286;278.483870967742;259.096774193548;256.433333333333;255.225806451613;261.466666666667
"6";6;3.62088974869152;2.88344931544881;3.67020522113507;5.04790115114606;2.89815612627357;6;1.73863636365196;NA;NA;NA;NA;2.89119170981117;NA;1.87004405300035;NA;NA;1.86420816816851;NA;NA;6;6;1.48532731386186;1.83133436574351;4.62421383658409;6;NA;2.78472256018824;1.43114399691245;2.20012666253303;2.45476178916671;6;2.19478501836474;3.92746114038139;NA;NA;3.29180771855282;1.95630323196409;NA;1.87264150976165;1.5198427608567;NA;6;2.25346656927519;2.96048632237261;2.6960352423095;1.84595578908565;4.21746880568311;6;"2001/05";220.387096774194;246.933333333333;218.935483870968;287.464285714286;278.483870967742;259.096774193548
"7";2.6960352423095;2.61016949138338;2.2928637625465;3.84470458746418;6;NA;NA;3.44496855401981;NA;6;NA;NA;2.28212137749921;NA;NA;NA;6;NA;NA;NA;6;NA;1.47955974844793;1.28483771048303;2.89815612627357;6;NA;6;2.29739336479671;6;2.15754649594795;6;3.83923941206209;2.6960352423095;NA;NA;2.96048632237261;3.2820894350973;6;6;1.13395297989874;NA;1.95340636469501;2.96004632310272;NA;3.15909090929832;2.14578655870454;2.6960352423095;6;"2001/08";145.774193548387;141.548387096774;173.366666666667;220.387096774194;246.933333333333;218.935483870968
"8";6;5.13569576481883;2.30560928436252;1.98298840689596;2.6960352423095;6;1.56860355600456;3.92746114038139;NA;6;NA;NA;6;NA;6;NA;NA;6;NA;NA;4.2806052267439;6;2.06918239010981;1.51324040275176;3.60380196768177;4.00664451792978;NA;6;3.14140808688646;1.85492227987534;3.04412481714265;NA;3.19182509103039;4.75226860267984;NA;NA;6;1.85658482140588;6;6;2.93738656978652;NA;2.42042717186337;6;6;4.1946354883008;3.61973013371556;3.00996677743605;6;"2001/10";160.935483870968;144.7;145.774193548387;141.548387096774;173.366666666667;220.387096774194
"9";NA;2.47524071543265;5.11768942672418;5.00393447906948;NA;3.43276283591859;6;4.4280684105323;NA;6;NA;NA;2.80007633889587;NA;1.85492227987534;NA;6;5.12310615291551;NA;NA;6;2.93821760504015;6;2.09962634226208;4.30447524219626;6;6;2.56549909853791;1.35603715166382;4.62421383658409;2.27127070557334;6;2.71052631574639;3.21964782230359;6;NA;2.96048632237261;3.03405101612511;6;3.92746114038139;2.03873239430277;3.52202643186101;4.76506124622691;3.52202643186101;6;2.8039772732745;3.48731399998293;6;6;"2002/03";337;368.928571428571;283.548387096774;193.58064516129;171.433333333333;160.935483870968
"10";1.87004405300035;1.76167973906577;2.46665538268999;2.62025417836566;1.47955974844793;3.59431383251477;1.67610062899564;6;NA;6;6;NA;NA;NA;6;NA;3.92746114038139;2.96048632237261;NA;NA;4.4280684105323;3.52202643186101;1.6966047040955;1.2429231139618;3.26972820367374;2.96048632237261;NA;1.67610062899564;2.71057871509466;2.89815612627357;1.64722243518151;6;2.1797066014399;1.38272111634606;NA;NA;1.9594222833015;2.17007681148206;NA;1.54245627701632;1.21834800258903;NA;4.11663438230688;2.70714629638556;NA;1.57135046492769;2.17767306760999;6;6;"2002/05";242.903225806452;277.6;337;368.928571428571;283.548387096774;193.58064516129
