"A.crassip";"A.lacustr";"A.osteomy";"Ast.lacus";"C.britski";"C.kelberi";"C.modestu";"C.nagelii";"C.piquiti";"E.triline";"G.inaequi";"G.sveni";"H.littora";"H.mbigua";"H.oremacu";"H.orthono";"H.platyrh";"H.unitaen";"Hopli.sp2";"Hopli.sp3";"Hopli.spp";"I.labrosu";"L.frideri";"L.lacustr";"L.platyme";"M.aff.int";"M.lippinc";"M.macroce";"M.piavuss";"P.ambrose";"P.corrusc";"P.galeatu";"P.granulo";"P.lineatu";"P.maculat";"P.mesopot";"P.mysteri";"P.squamos";"R.descalv";"R.hahni";"R.vulpinu";"S.borelli";"S.brasili";"S.brevipi";"S.insculp";"S.lima";"S.maculat";"S.margina";"S.pappate";"T.paragua";"ano.mes"
1;0.608695652173913;0.647058823529412;0.740740740740741;0.666666666666667;NA;0.6;0.285714285714286;NA;1;NA;NA;0.210526315789474;NA;1;NA;0;0.5;NA;NA;0;0.5;0.833333333333333;0.7;0.0666666666666667;0.702127659574468;0.25;NA;0.857142857142857;0.181818181818182;0.857142857142857;0.261538461538462;1;0.647058823529412;0.6;NA;NA;0.1875;0.326530612244898;1;0.588235294117647;0.475409836065574;NA;NA;0.357142857142857;NA;0;0.247191011235955;0.263157894736842;0.111111111111111;"2000/02"
0.333333333333333;0;0;0.333333333333333;0;0;0.25;NA;0.5;0.75;NA;NA;0;NA;1;NA;0.5;0.25;NA;NA;0;0;NA;0.214285714285714;0.0537634408602151;0;1;NA;0.666666666666667;0.1;1;0.467741935483871;1;0.375;0;NA;NA;0.375;0;0;0.25;0.166666666666667;NA;NA;0.2;NA;0.25;0.292682926829268;0;NA;"2000/05"
0;0.428571428571429;NA;0;NA;NA;NA;0.153846153846154;NA;NA;NA;NA;0.111111111111111;NA;NA;NA;0.5;0;NA;NA;0;0.2;NA;0.2;0.0184049079754601;0;0;NA;0.2;0.027027027027027;1;0.0212765957446809;NA;0.75;0.178571428571429;NA;NA;NA;0.1;0.5;0;0.0645161290322581;NA;NA;0.344827586206897;NA;NA;0.0714285714285714;0.5;0.2;"2000/08"
NA;0.285714285714286;0.5;0.254237288135593;0.5;NA;0.75;0.5;NA;0.75;NA;NA;0;NA;1;NA;0.142857142857143;NA;NA;NA;0;0;0.5;0.157894736842105;0.0948905109489051;0.275862068965517;NA;NA;0.4;0.0833333333333333;NA;0.213333333333333;NA;0.625;0.333333333333333;NA;NA;0.5;0.24390243902439;0.5;0.5;0.258064516129032;NA;NA;0.708333333333333;NA;0;0.0925925925925926;0.6;0.142857142857143;"2000/11"
NA;0.419354838709677;0.25;0.721739130434783;0;1;NA;1;NA;0.111111111111111;NA;NA;0.111111111111111;NA;1;NA;0;NA;NA;NA;0;0.25;0.5;0.4;0.0869565217391304;0.462962962962963;1;NA;NA;0.037037037037037;0.8;0.293333333333333;NA;0.428571428571429;0.333333333333333;NA;NA;1;0.28125;1;0.4;0.0833333333333333;0;NA;0.575342465753425;0.5;0.181818181818182;0.277227722772277;0.714285714285714;0.0833333333333333;"2001/02"
1;0.193548387096774;0.339622641509434;0.35;0;0.4;1;0.8;NA;NA;NA;NA;0.2;NA;0.75;NA;NA;1;NA;NA;0;0.222222222222222;0.5;0.375;0.072463768115942;0.5;0.333333333333333;NA;0;0.115384615384615;0.9;0.192307692307692;0;0.814814814814815;0;NA;NA;0.45;0.378378378378378;NA;0.6;0.0833333333333333;NA;0;0.456521739130435;0;0;0.409090909090909;0.5;0;"2001/05"
0;0.272727272727273;0.375;0.366666666666667;0;NA;NA;0.8;NA;0;NA;NA;0.454545454545455;NA;NA;NA;0.333333333333333;NA;NA;NA;0;0.666666666666667;NA;0.333333333333333;0.152046783625731;0.6;1;NA;1;0.1875;0.75;0.0625;1;0.846153846153846;0.333333333333333;NA;NA;0.5;0.135593220338983;1;1;0.3;NA;0.583333333333333;0.25;NA;0.666666666666667;0.476190476190476;0.333333333333333;0;"2001/08"
0;0.285714285714286;0.355555555555556;0.268292682926829;0;0;0.357142857142857;0.8;NA;0;NA;NA;0;NA;0;NA;NA;1;NA;NA;0;0.857142857142857;1;0.428571428571429;0.153225806451613;0.381818181818182;0.555555555555556;NA;0.5;0;0.5;0.128205128205128;NA;0.705882352941177;0.9;NA;NA;1;0.363636363636364;1;1;0.166666666666667;NA;0.434210526315789;0.545454545454545;0;0;0.15625;0.285714285714286;0.125;"2001/10"
NA;0.583333333333333;0.384615384615385;0.49;NA;0.25;1;0.428571428571429;NA;0.166666666666667;NA;NA;0.0819672131147541;NA;0.6;NA;0.166666666666667;0.615384615384615;NA;NA;0;0;0.6;0.476190476190476;0.218934911242604;0.34;0;0;0.615384615384615;0.0526315789473684;0.5;0.368421052631579;0;0.222222222222222;0.222222222222222;0;NA;1;0.315789473684211;1;0.6;0.0714285714285714;0.25;0.518518518518518;0;0;0.5;0.31858407079646;0;1;"2002/03"
0.75;0.230769230769231;0.416666666666667;0.368421052631579;0;0.466666666666667;0.375;1;NA;0.346153846153846;0;NA;NA;NA;1;NA;0.2;1;NA;NA;0;0.214285714285714;1;0.53125;0.250836120401338;0.157142857142857;1;NA;0.75;0.102564102564103;1;0.25531914893617;1;0.8;0.454545454545455;NA;NA;0.666666666666667;0.4;NA;0.615384615384615;0.666666666666667;NA;0.510204081632653;0.333333333333333;NA;0.466666666666667;0.471153846153846;0.666666666666667;1;"2002/05"
0.333333333333333;0.0857142857142857;0.0384615384615385;0.359375;0;0.0666666666666667;0.2;0;0;0.333333333333333;NA;NA;0;NA;1;NA;0;0.25;NA;NA;0;0.642857142857143;1;0.176470588235294;0.356410256410256;0.407407407407407;0;NA;1;0.131578947368421;0.5;0.259259259259259;1;0.666666666666667;0.222222222222222;NA;NA;1;0.2;0;1;0.444444444444444;NA;0.322033898305085;0.302631578947368;0;0.666666666666667;0.625;0.153846153846154;0.0666666666666667;"2002/08"
