"specie";"ancient_scientific_name";"scientific_name";"short_name";"mean_regional_size";"spawning_type";"L50_mean";"migration";"parental_care";"reproductive_guild";"diet";"origin";"order";"family";"slope";"p.value";"r2";"n"
"L.frideri";"Leporinus friderici ";"Leporinus friderici ";"L.fri";17.44;"Total";14.65;"No";"No";"NEFW";"Omn";"Native";"Characiformes";"Anostomidae";1.69309155603412;9.28854138357324e-38;0.953882653113775;56
"L.lacustr";"Leporinus lacustris";"Leporinus lacustris";"L.lac";13.69;"Partial";9.4;"No";"No";"NEFW";"Herb";"Native";"Characiformes";"Anostomidae";1.85760092014469;8.14939239306887e-37;0.913620293936477;68
"S.borelli";"Schizodon borellii";"Schizodon borellii";"S.bor";19.8;"Total";16.2;"No";"No";"NEFW";"Herb";"Invasive";"Characiformes";"Anostomidae";1.91084540055323;6.4277720109908e-32;0.878506175374921;68
"M.macroce";"Megaleporinus macrocephalus";"Megaleporinus macrocephalus";"M.mac";32.54;"Total";18.85;"Yes";"No";"LMEF";"Omn";"Invasive";"Characiformes";"Anostomidae";1.41137077429789;4.73677403353485e-18;0.89979698342482;35
"M.piavuss";"Megaleporinus piavussu";"Megaleporinus piavussu";"M.pia";19.4;"Total";18.85;"Yes";"No";"LMEF";"Herb";"Native";"Characiformes";"Anostomidae";1.63601056531848;1.68470189449559e-27;0.889523126497077;56
"S.brevipi";"Steindachnerina brevipinna";"Steindachnerina brevipinna";"S.bre";8.35;"Total";6.75;"No";"No";"NEFW";"Det";"Invasive";"Characiformes";"Curimatidae";2.00494377648164;1.62262701502163e-34;0.936017970292852;57
"S.insculp";"Steindachnerina insculpta ";"Steindachnerina insculpta ";"S.ins";8.42;"Total";5;"No";"No";"NEFW";"Det";"Native";"Characiformes";"Curimatidae";1.9567309606805;5.90166605576118e-50;0.975349680264284;62
"C.nagelii";"Cyphocharax nagelii";"Cyphocharax nagelii";"C.nag";11.74;"Total";7.95;"No";"No";"NEFW";"Det";"Native";"Characiformes";"Curimatidae";1.87474588301303;1.5683998047543e-22;0.960021485788172;32
"C.modestu";"Cyphocharax modestus";"Cyphocharax modestus";"C.mod";10.37;"Total";7.4;"No";"No";"NEFW";"Det";"Native";"Characiformes";"Curimatidae";1.46062023587929;3.13681484240575e-14;0.829604820104244;35
"P.lineatu";"Prochilodus lineatus";"Prochilodus lineatus";"P.lin";20.86;"Total";22.65;"Yes";"No";"LMEF";"Det";"Native";"Characiformes";"Prochilodontidae";1.75446517736782;3.90113707641127e-46;0.959070273014105;66
"S.margina";"Serrasalmus marginatus";"Serrasalmus marginatus";"S.mar";12.41;"Partial";11.85;"No";"Yes";"NEFP";"Pisc";"Invasive";"Characiformes";"Serrasalmidae";1.80136551287658;2.01548285199933e-35;0.904814706176861;68
"S.maculat";"Serrasalmus maculatus";"Serrasalmus maculatus";"S.mac";14.92;"Partial";10.3;"No";"Yes";"NEFP";"Pisc";"Native";"Characiformes";"Serrasalmidae";1.63555816599639;1.34765624389447e-29;0.874132269368333;64
