"ano.mes"	"manha"	"tarde"	"media"
"1"	"2000/1"	268.41935483871	266.838709677419	267.645161290323
"5"	"2000/2"	276.310344827586	276.689655172414	276.51724137931
"6"	"2000/3"	320.677419354839	321.677419354839	321.129032258065
"7"	"2000/4"	278.866666666667	269.033333333333	273.966666666667
"8"	"2000/5"	263.41935483871	257.451612903226	260.41935483871
"9"	"2000/6"	266.766666666667	262.1	264.5
"10"	"2000/7"	273.258064516129	262.677419354839	267.838709677419
"11"	"2000/8"	259.677419354839	259.870967741935	259.677419354839
"12"	"2000/9"	265.233333333333	257.6	261.466666666667
"2"	"2000/10"	254.774193548387	255.741935483871	255.225806451613
"3"	"2000/11"	252.8	259.833333333333	256.433333333333
"4"	"2000/12"	258	NA	259.096774193548
"13"	"2001/1"	277.193548387097	279.838709677419	278.483870967742
"17"	"2001/2"	287.642857142857	287.321428571429	287.464285714286
"18"	"2001/3"	218.322580645161	219.451612903226	218.935483870968
"19"	"2001/4"	246.733333333333	246.933333333333	246.933333333333
"20"	"2001/5"	218.096774193548	222.806451612903	220.387096774194
"21"	"2001/6"	173.6	172.966666666667	173.366666666667
"22"	"2001/7"	142.354838709677	140.741935483871	141.548387096774
"23"	"2001/8"	144.645161290323	147.096774193548	145.774193548387
"24"	"2001/9"	144.633333333333	144.8	144.7
"14"	"2001/10"	158.58064516129	163.322580645161	160.935483870968
"15"	"2001/11"	171.233333333333	171.466666666667	171.433333333333
"16"	"2001/12"	190.935483870968	196.258064516129	193.58064516129
"25"	"2002/1"	276.709677419355	290.387096774194	283.548387096774
"29"	"2002/2"	364.178571428571	373.607142857143	368.928571428571
"30"	"2002/3"	335.838709677419	337.870967741935	337
"31"	"2002/4"	274.6	280.733333333333	277.6
"32"	"2002/5"	241.225806451613	244.483870967742	242.903225806452
"33"	"2002/6"	200.9	202.033333333333	201.4
"34"	"2002/7"	194.967741935484	200.612903225806	197.838709677419
"35"	"2002/8"	215.838709677419	221.354838709677	218.645161290323
"36"	"2002/9"	212.566666666667	214.966666666667	213.833333333333
"26"	"2002/10"	232.225806451613	231.387096774194	231.806451612903
"27"	"2002/11"	209.833333333333	214.433333333333	212.066666666667
"28"	"2002/12"	233.677419354839	235.41935483871	234.548387096774
"37"	"2003/1"	246.806451612903	252.129032258065	249.483870967742
"41"	"2003/2"	362.357142857143	358.107142857143	360.107142857143
"42"	"2003/3"	323.774193548387	324.354838709677	324.193548387097
"43"	"2003/4"	301.8	303.1	302.3
"44"	"2003/5"	244.903225806452	244.709677419355	245.064516129032
"45"	"2003/6"	219.366666666667	224.266666666667	222.033333333333
"46"	"2003/7"	228.064516129032	232.064516129032	230.354838709677
"47"	"2003/8"	240.870967741935	245.516129032258	243.451612903226
"48"	"2003/9"	261.9	264.4	263.366666666667
"38"	"2003/10"	280.516129032258	286.258064516129	283.645161290323
"39"	"2003/11"	257	252	254.766666666667
"40"	"2003/12"	244.806451612903	247.161290322581	246.225806451613
"49"	"2004/1"	224.612903225806	232.225806451613	228.709677419355
"53"	"2004/2"	257.793103448276	252.620689655172	255.413793103448
"54"	"2004/3"	291.225806451613	292.612903225806	292.193548387097
"55"	"2004/4"	287.3	285.5	286.633333333333
"56"	"2004/5"	261.612903225806	260.451612903226	261.290322580645
"57"	"2004/6"	268.1	NA	265.966666666667
"58"	"2004/7"	228.41935483871	227.903225806452	228.322580645161
"59"	"2004/8"	233.096774193548	229	231.258064516129
"60"	"2004/9"	255.633333333333	252.433333333333	254.233333333333
"50"	"2004/10"	263.354838709677	254.096774193548	258.870967741935
"51"	"2004/11"	248.566666666667	257.033333333333	253.033333333333
"52"	"2004/12"	271.645161290323	269.58064516129	270.870967741935
"61"	"2005/1"	424.258064516129	430.129032258065	427.451612903226
"65"	"2005/2"	402.107142857143	397.535714285714	400
"66"	"2005/3"	303.129032258065	304.548387096774	303.967741935484
"67"	"2005/4"	289.766666666667	282.3	286.233333333333
"68"	"2005/5"	249.225806451613	249.774193548387	249.645161290323
"69"	"2005/6"	241.2	244.7	243.133333333333
"70"	"2005/7"	227.774193548387	227.322580645161	227.741935483871
"71"	"2005/8"	243.193548387097	247.677419354839	245.677419354839
"72"	"2005/9"	211.5	214.5	213.233333333333
"62"	"2005/10"	235.774193548387	241.290322580645	238.741935483871
"63"	"2005/11"	227.866666666667	236	232.166666666667
"64"	"2005/12"	344.258064516129	351.677419354839	348.161290322581
"73"	"2006/1"	335.290322580645	339.129032258065	337.387096774194
"77"	"2006/2"	315.535714285714	312.535714285714	314.178571428571
"78"	"2006/3"	389.41935483871	391.612903225806	390.741935483871
"79"	"2006/4"	350.266666666667	358.333333333333	354.6
"80"	"2006/5"	270.225806451613	269.322580645161	269.967741935484
"81"	"2006/6"	291.5	289.8	290.9
"82"	"2006/7"	279.193548387097	276.451612903226	278.032258064516
"83"	"2006/8"	282.870967741935	286.096774193548	284.774193548387
"84"	"2006/9"	279.4	276.466666666667	278.133333333333
"74"	"2006/10"	260.548387096774	260	260.451612903226
"75"	"2006/11"	273.966666666667	275.633333333333	275
