"specie","ancient_scientific_name","scientific_name","short_name","mean_regional_size","spawning_type","L50_mean","migration","parental_care","reproductive_guild","diet","origin","order","family"
"L.frideri","Leporinus friderici ","Leporinus friderici ","L.fri",17.44,"Total",14.65,"No","No","NEFW","Omn","Native","Characiformes","Anostomidae"
"L.lacustr","Leporinus lacustris","Leporinus lacustris","L.lac",13.69,"Partial",9.4,"No","No","NEFW","Herb","Native","Characiformes","Anostomidae"
"S.borelli","Schizodon borellii","Schizodon borellii","S.bor",19.8,"Total",16.2,"No","No","NEFW","Herb","Invasive","Characiformes","Anostomidae"
"M.macroce","Megaleporinus macrocephalus","Megaleporinus macrocephalus","M.mac",32.54,"Total",18.85,"Yes","No","LMEF","Omn","Invasive","Characiformes","Anostomidae"
"M.piavuss","Megaleporinus piavussu","Megaleporinus piavussu","M.pia",19.4,"Total",18.85,"Yes","No","LMEF","Herb","Native","Characiformes","Anostomidae"
"S.brevipi","Steindachnerina brevipinna","Steindachnerina brevipinna","S.bre",8.35,"Total",6.75,"No","No","NEFW","Det","Invasive","Characiformes","Curimatidae"
"S.insculp","Steindachnerina insculpta ","Steindachnerina insculpta ","S.ins",8.42,"Total",5,"No","No","NEFW","Det","Native","Characiformes","Curimatidae"
"C.nagelii","Cyphocharax nagelii","Cyphocharax nagelii","C.nag",11.74,"Total",7.95,"No","No","NEFW","Det","Native","Characiformes","Curimatidae"
"C.modestu","Cyphocharax modestus","Cyphocharax modestus","C.mod",10.37,"Total",7.4,"No","No","NEFW","Det","Native","Characiformes","Curimatidae"
"P.lineatu","Prochilodus lineatus","Prochilodus lineatus","P.lin",20.86,"Total",22.65,"Yes","No","LMEF","Det","Native","Characiformes","Prochilodontidae"
"S.margina","Serrasalmus marginatus","Serrasalmus marginatus","S.mar",12.41,"Partial",11.85,"No","Yes","NEFP","Pisc","Invasive","Characiformes","Serrasalmidae"
"S.maculat","Serrasalmus maculatus","Serrasalmus maculatus","S.mac",14.92,"Partial",10.3,"No","Yes","NEFP","Pisc","Native","Characiformes","Serrasalmidae"
"M.lippinc","Metynnis lippincottianus ","Metynnis lippincottianus ","M.lip",9.9,"Total",11,"No","No","NEFW","Omn","Invasive","Characiformes","Serrasalmidae"
"P.mesopot","Piaractus mesopotamicus","Piaractus mesopotamicus","P.mes",24.06,"Total",34.4,"Yes","No","LMEF","Herb","Native","Characiformes","Serrasalmidae"
"H.orthono","Hemiodus orthonops","Hemiodus orthonops","H.ort",18.67,"Total",17.3,"No","No","NEFW","Det","Invasive","Characiformes","Hemiodontidae"
"R.vulpinu","Rhaphiodon vulpinus","Rhaphiodon vulpinus","R.vul",38.59,"Total",31.25,"Yes","No","LMEF","Pisc","Native","Characiformes","Cynodontidae"
"Ast.lacus","Astyanax lacustris","Astyanax lacustris","Ast.l",6.43,"Partial",3.9,"No","No","NEFW","Ins","Native","Characiformes","Characidae"
"M.aff.int","Moenkhausia intermedia","Moenkhausia intermedia","M.int",6.27,"Partial",3.95,"No","No","NEFW","Omn","Native","Characiformes","Characidae"
"R.descalv","Roeboides descalvadensis","Roeboides descalvadensis","R.des",6.14,"Partial",4.1,"No","No","NEFW","Ins","Invasive","Characiformes","Characidae"
"A.lacustr","Acestrorhynchus lacustris","Acestrorhynchus lacustris","A.lac",15.57,"Partial",11.85,"No","No","NEFW","Pisc","Native","Characiformes","Acestrorhynchidae"
"S.brasili","Salminus brasiliensis","Salminus brasiliensis","S.bra",35.22,"Total",35.1,"Yes","No","LMEF","Pisc","Native","Characiformes","Bryconidae"
