"species";"ar0";"ar1";"ar2";"ar0.df1";"ar1.df1";"ar2.df1";"ar0.df2";"ar1.df2";"ar2.df2";"ar0.df3";"ar1.df3";"ar2.df3"
"1";"A.crassip";0;0.943346033673976;1.61555638872744;0;1.34888443586553;1.078204803294;0;1.39312772231787;1.89975812390455;0;1.65145379767588;2.48705124244952
"2";"A.lacustr";5.31246046757295;0;1.81514340725224;3.2096815660725;0;1.15926091352864;2.9617863359112;0.503060441245196;0;3.64394081055852;1.22807015832623;0
"3";"A.osteomy";0;1.34036518106967;1.97379986175686;0;0.959507970729746;2.05630373562489;0;0.967272384032583;1.69313403323758;0;1.04719468417247;1.79942468547333
"4";"Ast.lacus";0;1.82020758131171;3.74963289357262;0;1.84528716123171;3.79609090957095;0;1.23594996268454;3.23591707492599;0;1.39895555881577;3.39515616744799
"5";"C.britski";0;1.53228742115752;3.47600142961593;0;1.70990349834375;3.62420713389463;0;1.7611877580255;3.68011553540674;0;1.77953148057489;3.72522376356946
"6";"C.kelberi";2.54843425588979;0.545902069295067;0;1.53601261662553;0.203972500811489;0;1.58324672929129;0.138144347070067;0;1.60454574653983;0.198846801025667;0
"7";"C.modestu";0;1.99050739164146;2.85215686581314;0;1.9999353425993;2.62234732242166;0;1.97928490182784;3.02768597149591;0;1.99562881841508;2.99838141348171
"8";"C.nagelii";0;0.835260425664544;2.43631591123142;0;0.28072743861555;1.97402549864975;0;0.512014265812446;2.39093003940842;0;0.120252461580129;1.97382751691419
"9";"C.piquiti";0;0.918979991016613;2.1887520373953;0;0.23210510965751;1.75274230611022;0;0.1482920827127;1.39759402871692;0;0.827508796371148;1.8952047644643
"10";"E.triline";2.10586697700271;0;0.972719232721005;2.94347872128904;0;1.33565550804158;3.52332742841179;0;1.34791812124277;2.69887635794672;0;0.976983542932913
"11";"G.inaequi";0;1.99914495424738;3.63987998363004;0;1.99937995143162;3.49646477364263;0;1.99999586105379;3.3550235238593;0;1.99435668020992;3.49445803685576
"12";"G.sveni";0;1.68149424735783;3.64783732065777;0;1.82418962182358;3.7937090234349;0;1.91454467410526;3.90514972504377;0;1.92203793782419;3.53951447873804
"13";"H.littora";0.798831585932547;1.82761416080731;0;0.651617275930036;1.74519244125403;0;0.37741720290505;1.63132209820228;0;0.83382317219116;2.29492558723359;0
"14";"H.mbigua";0;0.618234373369184;1.93699911212327;0;1.32498915427887;2.22710548311418;0.559704483164943;0;0.241093254127968;0;0.310170741567148;0.875914540840597
"15";"H.oremacu";0;0.690623877172499;0.373886647041374;0;0.669192345022424;0.0286165780053693;0;1.14713096881529;0.905735825517922;0;0.998447926038722;0.991698909529106
"16";"H.orthono";0;1.5536274122049;3.36169242648044;0;1.58459233964707;1.91690030308042;0;1.58754485371468;1.33843387544336;0;1.25848770548052;1.10560849986797
"17";"H.platyrh";1.52094167469082;1.2348825300791;0;0.215003370062959;0.968759356082842;0;0;0.797105375116317;1.20674199768919;0.508399872880474;0;0.514440181246059
"18";"H.unitaen";0;1.99067121344974;1.80219492847985;0;1.95019174363689;1.48299550663933;2.79188149404476;4.54336944027334;0;1.0066440518021;2.76952383483528;0
"19";"Hopli.sp2";6.33352419886802;0;0.318579876741239;4.58714573709121;0;1.39145255871313;4.71061593283839;0;1.49661050729215;4.14696300027818;0;1.10372601394333
"20";"Hopli.sp3";0;0.604830075301066;1.05388341547012;0;0.682180433326693;1.32514668274665;0;0.628174362423763;0.205240912435045;0.999214628727103;1.0398938221295;0
"21";"I.labrosu";0;1.97040572188058;3.75940106258798;0;1.87561619630837;3.59645681473395;0;1.99535107867199;3.97789525968714;0;1.96587326613765;3.38438748550753
"22";"L.frideri";0;1.93545445501505;3.12174455634781;0;1.57767580634956;3.43591161941254;0;1.78900824810827;1.92322665030483;0;1.88893492601071;0.454517022455263
"23";"L.lacustr";0;1.42451878545668;3.1792762625594;0;0.863738326538623;2.83629493029193;0;1.12039275901233;2.65515646185173;0;1.01214027084026;2.50366349086781
