"species";"ar0";"ar1";"ar2";"ar0.df1";"ar1.df1";"ar2.df1";"ar0.df2";"ar1.df2";"ar2.df2";"ar0.df3";"ar1.df3";"ar2.df3"
"1";"A.crassip";0;0.00837272296746505;1.54512430714834;0;0.000234443734740353;1.31893096892981;0;1.3701920606409;1.26995817131504;0;1.43301237250512;1.97958140405555
"2";"A.lacustr";6.25585575513463;5.69124965562139;0;6.37137842623349;5.2080704923311;0;4.31825695265513;4.28685610364755;0;1.97095231246493;3.0564249993314;0
"3";"A.osteomy";0;1.98469837280248;3.61153104562186;0;1.9998067709389;3.79353397715829;0;1.90085155873976;3.23459576298148;0;1.9111457643404;3.30968891699166
"4";"Ast.lacus";6.22511342283804;1.14045048239734;0;5.74890355853915;1.60176998967449;0;6.23216391584566;2.16593935318775;0;7.86930059440488;2.3562741486611;0
"5";"C.britski";0;0.727193622737957;2.26495535627964;0;0.139451943181939;1.79179766980346;0;0.295285681597875;1.88911567177684;0.0496794619956233;0;1.51220986738278
"6";"C.kelberi";2.43787747550417;0.813341764743654;0;0.934205648791448;0.394730870249873;0;1.10009256252687;0.564230886803131;0;1.12071046642532;0.570699592508731;0
"7";"C.modestu";0;1.38662185003021;2.56019207985904;0;1.220926787529;1.79843922933452;0;0.791207170446171;0.935869455328032;0;0.930172915801066;2.25445086549762
"8";"C.nagelii";0;1.9236832366295;1.27840231762985;0;1.98499104380727;0.656931539253179;0;1.99634776722509;0.511694334688158;0;1.99903386416125;0.934864801973404
"9";"C.piquiti";0.330572563069992;2.06755617310746;0;3.0590424464223;5.05117460588313;0;2.45252789821804;4.44257674992564;0;1.70037666728935;3.66679263515405;0
"10";"E.triline";0.635204990939997;0;1.69102759175408;0.181770983552724;0;1.79815795518559;0.659648730039123;0;1.97770571663577;0.777666405622824;0;1.78426509315085
"11";"G.inaequi";0;1.95836453171364;0.962742530715104;0;1.9663686015333;0.201397234036051;0.491425612151943;2.46666794043364;0;0;1.98512221931048;0.0226801685118403
"12";"G.sveni";2.88691348742572;0;1.69455155472153;0.602580895883762;0;1.99816863933023;0;0.161646268253037;1.76286640311619;0.254466238240411;0;1.88630722476097
"13";"H.littora";4.67756724088343;0;1.63981585416798;4.90506397294934;0;1.08664741019675;4.62850496027454;0;1.88597027967893;2.55932289288472;0;1.98962093752255
"14";"H.mbigua";7.63256019419939;1.09563721306486;0;2.69716241299861;0;1.22404671354241;1.03767684407055;0;1.99063034794948;0.396050131492927;0;1.99789453828765
"15";"H.oremacu";0;1.77780148240106;3.77114433774227;0;1.74583408195787;3.71719275904394;0;1.51641035233121;3.48771521724527;0;1.40595482103171;3.34161184438798
"16";"H.orthono";0;1.53275778699731;2.54366958111513;0;1.86933360615994;2.70392979161664;1.27304869604627;3.2657977248841;0;0.729887641490507;2.67685296212173;0
"17";"H.platyrh";4.31356151923302;0;1.91178213691944;2.61766002403013;0;1.81298277413978;1.76933087275842;0;1.90244161026368;2.76577880165587;0;1.9875477451007
"18";"H.unitaen";0;0.606128949917888;1.0970222369225;0;0.69764413727853;2.07090034058899;0;0.993688497618535;2.71844572402128;0;0.934558632779925;2.76934568524842
"19";"Hopli.sp2";0.137110632569744;0;1.89908831972684;4.07756544356079;0;1.9698880723663;2.71997401469412;0;1.71922925869359;0.03445342053476;0;1.98956620321013
"20";"Hopli.sp3";0;0.823278051866396;2.10946232236819;0;0.418512496701254;1.62205019258579;0;0.450509651249433;1.34369154066664;0;1.18440912668424;2.0087523836437
"21";"I.labrosu";0;0.335721838494749;0.66745733301309;0.322160214206065;0;0.525624293384169;0;0.227248787104827;1.74448788632955;0.114075510013379;0;1.95924525968871
"22";"L.frideri";0;1.81192396719985;2.65915188369195;2.40604794859507;2.52592716721657;0;5.40937555164612;6.84690611296622;0;3.55661349344797;4.83468489119636;0
"23";"L.lacustr";0;1.97747791044873;3.93105667246971;0;0.862462772543438;2.84438984091031;0;1.39729576402414;3.05052354617595;0;1.19052586498202;3.15765600579192
"24";"L.platyme";3.93911486196112;0;1.70475294588729;3.24860319876518;0;1.81935612020123;2.30229653516773;0;1.97777088378712;2.03943023573117;0;1.89322740087871
"25";"M.aff.int";0.492035340211544;2.4865568238194;0;0.648270167847613;2.59338006177086;0;0.767440107187099;2.74183810060191;0;0.789117751498964;2.75377905063033;0
"26";"M.lippinc";0;1.38281112366388;2.1454541559491;0;1.2803296387647;2.76735989652684;0;1.80343661201962;3.31939263125628;0;1.91550678739156;2.70713093707926
"27";"M.macroce";0.94038497766303;0;1.60373237421199;1.09335823725326;0;1.20988374880375;0;0.551593409026196;2.17438894873347;0.129211409624602;0;1.91408849405606
"28";"M.piavuss";0;0.942707696944439;2.6746969716373;0;1.28693418514806;3.02027271680649;0;0.249836427760386;1.99750397392768;0.0553921554299563;0;1.94008284491417
"29";"P.ambrose";3.9783726358329;4.06709024733141;0;5.01053585859827;3.92730830825982;0;6.08091988740699;5.71679582344055;0;4.3044706395882;4.35841967557491;0
"30";"P.corrusc";0;1.05687251180856;3.00375698962111;0;0.874267784601301;2.84500886973271;0;0.90016504926345;2.79164741952226;0;1.03874050173448;2.39461105995949
"31";"P.galeatu";18.5962121259887;12.8455050740444;0;17.3855309133112;14.1771950747936;0;14.7690904281785;11.5489358192632;0;12.2561902168275;9.60512349935104;0
"32";"P.granulo";0;1.20225723058465;1.76007116885279;0;1.27855497684229;1.9335174281043;0;1.37211881244735;1.97986199933942;0;1.37650787918261;1.54737009083004
"33";"P.lineatu";39.3937414786364;0;1.27867715537604;39.316945836963;0;0.811810076589268;42.465419592911;0;1.02301805388629;43.0310061107502;0;1.57924638592456
"34";"P.maculat";0;1.9968943118472;3.88821499539239;0;1.87991303141462;3.81618823883298;0;1.80552297318408;3.52086675762541;0;1.74375115045427;3.44022622008382
"35";"P.mesopot";0;1.61401238905661;3.45253359080355;0;1.53968575649598;3.15319465491618;0;1.48941384169437;3.04948125863467;0;1.4898700605562;3.38525086140361
"36";"P.mysteri";0;1.76629019345225;3.14599095909776;0;1.8038802122866;3.38136463657639;0;1.92055919162146;3.48763256295521;0;1.94154619192236;3.83116061281549
"37";"P.squamos";0;0.274736090210098;0.835272543059801;0;0.181040710040634;0.764881806269642;0;0.638566972821252;1.08042966620843;0;0.401735624511872;1.48758652845052
"38";"R.descalv";2.32929765665602;4.18229745154076;0;2.91867526198166;4.8617213492725;0;1.62488073754247;3.50744384518316;0;1.37823316067227;3.20240637300827;0
"39";"R.hahni";0;1.44450627874213;0.753340939416802;0;0.994260550984833;0.832587489150797;0;1.17547184853609;1.42773938455557;0;0.858002736373791;1.45249685485274
"40";"R.vulpinu";0.849749732704822;1.55370699294309;0;0.745661196690548;1.11444182598848;0;0.0611037352816766;1.4971307776222;0;0;1.63970121246092;0.624962096898059
"41";"S.borelli";20.6951073860236;0;1.21361886869215;20.5289185806239;0;0.91476168923208;16.1799548615484;0.374158100715249;0;15.860594432174;0;0.321860304740767
"42";"S.brasili";0;0.174738736630246;0.343540767908934;0;0.31672526025875;1.21880158627013;0.216789226061849;0;1.07881079429217;0.843382191058822;0;1.57616433316568
"43";"S.brevipi";1.22479764878733;0;0.297696313512688;1.16283358277963;0;0.0496120173039003;1.87926435628032;0.67917169003556;0;2.58418426884566;1.12603585657314;0
"44";"S.insculp";19.6021244112272;0;1.46218965970866;20.3309739600322;0;1.4416385356904;19.6361502186469;0;1.46073411215639;18.8475169772777;0;1.41461695472981
"45";"S.lima";0;1.76959125450915;3.67402822083255;0;1.85502965046174;3.76327504641591;0;1.86280635948049;3.56810514481722;0;1.84194445954367;3.54074273432536
"46";"S.maculat";4.61951725139971;0;1.9871543703654;4.93300190338186;0;1.95774041028773;4.35491251569573;0;1.73625424097813;5.9312370327705;0;1.95746445345944
"47";"S.margina";0;0.54702319438195;2.30502741916678;0;0.560462827599792;2.3424051844554;0;0.739935583024817;2.48069245866719;0;0.742083874276204;1.9692517371214
"48";"S.pappate";1.15425071829844;1.49694480546518;0;0.448599617823362;0.798879114453456;0;0;0.484610473143135;1.19207006415198;0.194066412307706;0;0.629826083036534
"49";"T.paragua";2.96355885426158;0;1.99395109604001;4.36028991017241;0;1.80829018285482;5.56407333463389;0;1.94552448501094;2.8832826481094;0;1.99998691181685
